Date,Transaction Description,Amount
13/06/2026,SQ *PLATFORM           London        GBR,-37.76
13/06/2026,BOXHALL CITY           ENGLAND       LND,-34.45
13/06/2026,WH Smith Liverpool Str London        GBR,-6.37
13/06/2026,PEPE NORTHWOOD         NORTHWOOD HA6 ENG,-10.29
13/06/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-16.3
11/06/2026,TESCO STORES           MILTON KEYNES GBR,-1.25
10/06/2026,KFC - ELMSWELL GATE    MILTON KEYNES GBR,-9.99
10/06/2026,VENDMASTER LTD         ROCHESTER     GBR,-1
09/06/2026,VENDMASTER LTD         ROCHESTER     GBR,-1
09/06/2026,VENDMASTER LTD         ROCHESTER     GBR,-1.25
08/06/2026,Zettle_*Wenzels the Ba Watford       GBR,-6.5
08/06/2026,UBER   *TRIP           HELP.UBER.COM ENG,-27.96
08/06/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-11
08/06/2026,UBER *TRIP HELP.UBER.C London        GBR,-16.9
08/06/2026,UBER   *TRIP           HELP.UBER.COM ENG,-27.59
08/06/2026,UBER   *EATS           HELP.UBER.COM ENG,-11.69
06/06/2026,Jollibee UK            London        GBR,-17.58
06/06/2026,Imm-Aroy by SeeWoo     London        GBR,-4
06/06/2026,LAT*LASVEGAS           London        GBR,-1.5
06/06/2026,LAT*LASVEGAS           London        GBR,-1.5
06/06/2026,LAT*LASVEGAS           London        GBR,-1.5
06/06/2026,MARKS AND SPENCER      LONDON        GBR,-1.85
06/06/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-8
04/06/2026,BOOTS 1346             MILTON KEYNES GBR,-4.29
03/06/2026,BELGRAVIA CENTRE       LONDON        LND,-258.25
03/06/2026,Anglian Water Services Huntingdon    GBR,-72.47
03/06/2026,VENDMASTER LTD         ROCHESTER     GBR,-1
02/06/2026,SUBWAY36761            CHIGWELL      GBR,-5.19
02/06/2026,TESCO STORES 3030      PINNER        GBR,-5.15
01/06/2026,PAYMENT - THANK YOU,717.42
01/06/2026,Fairgame               447989945811  GBR,-23.3
01/06/2026,JP NEWSAGENT           NORTHWOOD     GBR,-3.68
01/06/2026,Bossie's Ice Cream 3   Gillingham    GBR,-2
01/06/2026,PARTISAN WORK FG LTD F LONDON        ENG,-2
01/06/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-8
01/06/2026,The Beach Hut Cafe     Brighton      GBR,-4.6
01/06/2026,Nayax **PhotobotCo     Brighton and  GBR,-5
01/06/2026,THE CAPTAINS MD LTD    BRIGHTON      GBR,-26.8
01/06/2026,BRIGHTON MARINE PALACE BRIGHTON      GBR,-2
01/06/2026,BRIGHTON MARINE PALACE BRIGHTON      GBR,-20
01/06/2026,TESCO PFS 3083         NORTHWOOD     GBR,-1.85
01/06/2026,STATION GRILL          Brighton      GBR,-14
01/06/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-8
30/05/2026,SQ *IKIGAI COFFEE      Brighton      GBR,-13.25
30/05/2026,ST GEORGES CTR PARKING HARROW        GBR,-1
29/05/2026,SAMY EXPRESS MK        MILTON KEYNES GBR,-5.99
29/05/2026,CHICKEN LAND           NORTHWOOD     GBR,-11
29/05/2026,VENDMASTER LTD         ROCHESTER     GBR,-1
27/05/2026,NON-STERLING TRANSACTION FEE,-1.03
27/05/2026,Vue Entertainment Ltd  London        GBR,-34.47
27/05/2026,UBER   *TRIP           HELP.UBER.COM NH,-34.61
26/05/2026,NON-STERLING TRANSACTION FEE,-0.54
26/05/2026,NON-STERLING TRANSACTION FEE,-0.63
26/05/2026,NON-STERLING TRANSACTION FEE,-0.19
26/05/2026,PAN GARNI              NICE          FRA,-18.01
26/05/2026,LA PLAGE DE L'O        NICE          FRA,-21.21
26/05/2026,UBER   *TRIP           HELP.UBER.COM NH,-6.26
22/05/2026,UBER *TRIP HELP.UBER.C London        GBR,-11.33
22/05/2026,BOOTS 0744             HEATHROW      GBR,-2.75
22/05/2026,UBER   *TRIP           HELP.UBER.COM ENG,-18.9
22/05/2026,GIRAFFE 1779           HEATHROW      ENG,-17.5
21/05/2026,Auntie Anne's          Harrow        GBR,-7.6
21/05/2026,CHA CHA CHAI NORTHWOOD NORTHWOOD     GBR,-3.5
21/05/2026,ST GEORGES CTR PARKING HARROW        GBR,-2.7
21/05/2026,PCC* SIGNATURE TRANSFE ST IVES       LND,-39
19/05/2026,UBER   *ONE MEMBERSHIP UBER.COM/BILL ENG,-4.99
19/05/2026,RONTEC PORTWAY         MILTON KEYNES ENG,-1
19/05/2026,VENDMASTER LTD         ROCHESTER     GBR,-1
18/05/2026,NANDOS.CO.UK           LONDON        LND,-15.7
18/05/2026,SumUp  *Grab-A-Bite    London        GBR,-2
18/05/2026,NYX*DatatekPaymentsLtd London        GBR,-1
18/05/2026,TFL TRAVEL CH          TFL.GOV.UK/CP GBR,-6.2
18/05/2026,UBER   *TRIP           HELP.UBER.COM ENG,-20.93
18/05/2026,PEPE NORTHWOOD         NORTHWOOD HA6 ENG,-29.46
